FG,length,speed,ratio,t.look,Max.speed,alfa,beta,height
ANG,200,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,303,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,510,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,686,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,835,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,963,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,1072,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,1165,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,1244,,0.38,0.4,800,0.00470168,2.83452053,0.142
ANG,1311.7755972491,,0.4,0.3,800,0.00470168,2.83452053,0.142
BRC,201.8070116373,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,240.7293863695,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,279.6517611017,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,317.4197105203,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,356.0973550659,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,398.3590746687,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,441.3440863719,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,475.1204444236,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,505.6434122338,,0.1,0.3,,0.0083931,3.14636532,0.335
BRC,536.166380044,,0.1,0.3,,0.0083931,3.14636532,0.335
LBF,505.3380545997,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,561.6219819645,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,627.005443339,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,674.6794015449,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,728.489131825,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,808.4752455098,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,869.5649926622,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,906.5522586127,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,960.2441990257,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LBF,1015.1053563993,,0.4,0.4,1500,0.00026108,3.87985815,0.25
LPF,168.0005590208,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,446.1805493743,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,581.5852872418,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,647.4938488665,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,679.5749899244,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,695.1905577081,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,702.7914705549,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,706.4912320304,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,708.2920992752,,0.5,0.4,1700,0.02835469,2.73409475,0.25
LPF,709.1686754692,,0.5,0.4,1700,0.02835469,2.73409475,0.25
SBF,180.067981676,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,220.1004496718,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,260.1329176676,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,309.625132707,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,357.4142675837,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,416.611832223,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,450.540466199,,0.5,0.6,1500,6.15806045,1.40660523,0.37
SBF,524.3770432122,,0.5,0.6,1500,6.15806045,1.40660523,0.37
